date,consumer_sentiment,inflation_rate,sp500_index
2023-01-01,64.9,3.9,NA
2023-02-01,66.9,4.2,4119.21
2023-03-01,62,3.6,3951.39
2023-04-01,63.7,4.7,NA
2023-05-01,59,4.2,4167.87
2023-06-01,64.2,3.3,4221.02
2023-07-01,71.5,3.4,NA
2023-08-01,69.4,3.5,4576.73
2023-09-01,67.8,3.2,4515.77
2023-10-01,63.8,4.2,NA
2023-11-01,61.3,4.5,4237.86
2023-12-01,69.7,3.1,4594.63
2024-01-01,79,2.9,NA
2024-02-01,76.9,3,4906.19
2024-03-01,79.4,2.9,5137.08
2024-04-01,77.2,3.2,5243.77
2024-05-01,69.1,3.3,5018.39
2024-06-01,68.2,3,NA
2024-07-01,66.4,2.9,5475.09
2024-08-01,67.9,2.8,5446.68
